Cell,Parent,LineageName,Birth,Death,Type,Description,,
AB,P0,AB,0,,,Embryonic founder cell.,,
P1,P0,P1,0,,,,,
ABa,AB,ABa,17,,,,,
ABp,AB,ABp,17,,,,,
EMS,P1,EMS,18,,,,,
P2,P1,P2,18,,,,,
ABpl,ABp,ABpl,35,,,,,
ABal,ABa,ABal,35,,,,,
ABpr,ABp,ABpr,35,,,,,
ABar,ABa,ABar,35,,,,,
E,EMS,E,39,,,Embryonic founder cell.,,
MS,EMS,MS,39,,,Embryonic founder cell.,,
P3,P2,P3,42,,,,,
C,P2,C,42,,,,,
ABpla,ABpl,ABpla,50,,,,,
ABarp,ABar,ABarp,50,,,,,
ABplp,ABpl,ABplp,50,,,,,
ABara,ABar,ABara,50,,,,,
ABalp,ABal,ABalp,50,,,,,
ABala,ABal,ABala,50,,,,,
ABpra,ABpr,ABpra,55,,,,,
ABprp,ABpr,ABprp,55,,,,,
Ep,E,Ep,58,,,,,
MSp,MS,MSp,58,,,,,
MSa,MS,MSa,58,,,,,
Ea,E,Ea,58,,,,,
ABplpp,ABplp,ABplpp,67,,,,,
ABplpa,ABplp,ABplpa,67,,,,,
ABalap,ABala,ABalap,68,,,,,
ABalaa,ABala,ABalaa,68,,,,,
P4,P3,P4,68,,,Embryonic founder cell: germ line.,,
D,P3,D,68,,,Embryonic founder cell.,,
ABalpp,ABalp,ABalpp,68,,,,,
ABalpa,ABalp,ABalpa,68,,,,,
ABarpp,ABarp,ABarpp,68,,,,,
ABarpa,ABarp,ABarpa,68,,,,,
Cp,C,Cp,70,,,,,
Ca,C,Ca,70,,,,,
ABprap,ABpra,ABprap,75,,,,,
ABaraa,ABara,ABaraa,75,,,,,
ABplaa,ABpla,ABplaa,75,,,,,
ABarap,ABara,ABarap,75,,,,,
ABpraa,ABpra,ABpraa,75,,,,,
ABprpp,ABprp,ABprpp,75,,,,,
ABplap,ABpla,ABplap,75,,,,,
ABprpa,ABprp,ABprpa,75,,,,,
MSaa,MSa,MSaa,85,,,,,
MSpp,MSp,MSpp,85,,,,,
MSpa,MSp,MSpa,85,,,,,
MSap,MSa,MSap,85,,,,,
ABalapa,ABalap,ABalapa,92,,,,,
ABalapp,ABalap,ABalapp,92,,,,,
ABalaaa,ABalaa,ABalaaa,94,,,,,
ABalaap,ABalaa,ABalaap,94,,,,,
Cap,Ca,Cap,97,,,,,
Cpa,Cp,Cpa,97,,,,,
Cpp,Cp,Cpp,97,,,,,
Caa,Ca,Caa,97,,,,,
ABaraap,ABaraa,ABaraap,105,,,,,
ABarpaa,ABarpa,ABarpaa,105,,,,,
ABpraaa,ABpraa,ABpraaa,105,,,,,
ABprapa,ABprap,ABprapa,105,,,,,
ABplpaa,ABplpa,ABplpaa,105,,,,,
ABprpaa,ABprpa,ABprpaa,105,,,,,
ABarapp,ABarap,ABarapp,105,,,,,
ABalppp,ABalpp,ABalppp,105,,,,,
ABarppa,ABarpp,ABarppa,105,,,,,
ABprapp,ABprap,ABprapp,105,,,,,
ABplapp,ABplap,ABplapp,105,,,,,
ABplapa,ABplap,ABplapa,105,,,,,
ABalppa,ABalpp,ABalppa,105,,,,,
ABplaap,ABplaa,ABplaap,105,,,,,
ABalpaa,ABalpa,ABalpaa,105,,,,,
ABarapa,ABarap,ABarapa,105,,,,,
ABprppa,ABprpp,ABprppa,105,,,,,
ABplppa,ABplpp,ABplppa,105,,,,,
ABplppp,ABplpp,ABplppp,105,,,,,
ABarppp,ABarpp,ABarppp,105,,,,,
ABprppp,ABprpp,ABprppp,105,,,,,
ABprpap,ABprpa,ABprpap,105,,,,,
ABpraap,ABpraa,ABpraap,105,,,,,
ABaraaa,ABaraa,ABaraaa,105,,,,,
ABplaaa,ABplaa,ABplaaa,105,,,,,
ABarpap,ABarpa,ABarpap,105,,,,,
ABplpap,ABplpa,ABplpap,105,,,,,
ABalpap,ABalpa,ABalpap,105,,,,,
Eal,Ea,Eal,110,,,,,
Ear,Ea,Ear,110,,,,,
MSaaa,MSaa,MSaaa,115,,,,,
Dp,D,Dp,115,,,,,
Da,D,Da,115,,,,,
Epr,Ep,Epr,115,,,,,
MSaap,MSaa,MSaap,115,,,,,
Epl,Ep,Epl,115,,,,,
MSpap,MSpa,MSpap,120,,,,,
ABalapaa,ABalapa,ABalapaa,120,,,,,
MSapa,MSap,MSapa,120,,,,,
ABalapap,ABalapa,ABalapap,120,,,,,
MSapp,MSap,MSapp,120,,,,,
MSpaa,MSpa,MSpaa,120,,,,,
ABalappp,ABalapp,ABalappp,121,,,,,
ABalappa,ABalapp,ABalappa,121,,,,,
ABalaaaa,ABalaaa,ABalaaaa,122,,,,,
ABalaaap,ABalaaa,ABalaaap,122,,,,,
MSppa,MSpp,MSppa,122,,,,,
MSppp,MSpp,MSppp,122,,,,,
ABalaapa,ABalaap,ABalaapa,123,,,,,
ABalaapp,ABalaap,ABalaapp,123,,,,,
Cppa,Cpp,Cppa,133,,,,,
Cppp,Cpp,Cppp,133,,,,,
Capa,Cap,Capa,133,,,,,
Capp,Cap,Capp,133,,,,,
Cpap,Cpa,Cpap,133,,,,,
Caap,Caa,Caap,133,,,,,
Caaa,Caa,Caaa,133,,,,,
Cpaa,Cpa,Cpaa,133,,,,,
ABarapaa,ABarapa,ABarapaa,135,,,,,
ABalpaap,ABalpaa,ABalpaap,135,,,,,
ABalpppp,ABalppp,ABalpppp,135,,,,,
ABarappp,ABarapp,ABarappp,135,,,,,
ABarappa,ABarapp,ABarappa,135,,,,,
ABalpaaa,ABalpaa,ABalpaaa,135,,,,,
ABaraaaa,ABaraaa,ABaraaaa,135,,,,,
ABarpapp,ABarpap,ABarpapp,135,,,,,
ABalpapp,ABalpap,ABalpapp,135,,,,,
ABaraaap,ABaraaa,ABaraaap,135,,,,,
ABalpppa,ABalppp,ABalpppa,135,,,,,
ABaraapa,ABaraap,ABaraapa,135,,,,,
ABaraapp,ABaraap,ABaraapp,135,,,,,
ABarpaaa,ABarpaa,ABarpaaa,135,,,,,
ABarpapa,ABarpap,ABarpapa,135,,,,,
ABarpaap,ABarpaa,ABarpaap,135,,,,,
ABalpapa,ABalpap,ABalpapa,135,,,,,
ABarapap,ABarapa,ABarapap,135,,,,,
ABplaaap,ABplaaa,ABplaaap,135,,,,,
ABarppaa,ABarppa,ABarppaa,135,,,,,
ABplpapa,ABplpap,ABplpapa,135,,,,,
ABprpapp,ABprpap,ABprpapp,135,,,,,
ABprpapa,ABprpap,ABprpapa,135,,,,,
ABplpaap,ABplpaa,ABplpaap,135,,,,,
ABprpaap,ABprpaa,ABprpaap,135,,,,,
ABplpaaa,ABplpaa,ABplpaaa,135,,,,,
ABpraaaa,ABpraaa,ABpraaaa,135,,,,,
ABprpaaa,ABprpaa,ABprpaaa,135,,,,,
ABpraaap,ABpraaa,ABpraaap,135,,,,,
ABprappp,ABprapp,ABprappp,135,,,,,
ABprappa,ABprapp,ABprappa,135,,,,,
ABplappp,ABplapp,ABplappp,135,,,,,
ABpraapa,ABpraap,ABpraapa,135,,,,,
ABprapap,ABprapa,ABprapap,135,,,,,
ABplappa,ABplapp,ABplappa,135,,,,,
ABplapap,ABplapa,ABplapap,135,,,,,
ABarppap,ABarppa,ABarppap,135,,,,,
ABarpppa,ABarppp,ABarpppa,135,,,,,
ABprapaa,ABprapa,ABprapaa,135,,,,,
ABplaaaa,ABplaaa,ABplaaaa,135,,,,,
ABarpppp,ABarppp,ABarpppp,135,,,,,
ABplaapa,ABplaap,ABplaapa,135,,,,,
ABplaapp,ABplaap,ABplaapp,135,,,,,
ABplapaa,ABplapa,ABplapaa,135,,,,,
ABpraapp,ABpraap,ABpraapp,135,,,,,
ABplpapp,ABplpap,ABplpapp,135,,,,,
Z3,P4,P4a,140,,repro,Germ line precursor cell.,,
Z2,P4,P4p,140,,repro,Germ line precursor cell.,,
ABalppaa,ABalppa,ABalppaa,140,,,,,
ABplpppp,ABplppp,ABplpppp,140,,,,,
ABplpppa,ABplppp,ABplpppa,140,,,,,
ABalppap,ABalppa,ABalppap,140,,,,,
ABplppap,ABplppa,ABplppap,140,,,,,
ABprppap,ABprppa,ABprppap,140,,,,,
